Mutant,test05,test04,test03,test02,test01,test00,test10,test09,test08,test07,test06,Total,Equiv?
AOIS_59, , , , , , , , , , , ,0, 
COI_3, , , ,1, , , , , , ,1,2, 
AOIS_58,1, , , , ,1, , , , , ,2, 
COI_2, , , ,1, , , , ,1,1,1,4, 
AOIS_57,1, , , , ,1, , , , , ,2, 
COI_5, ,1, , , ,1, , , , , ,2, 
AOIS_56, , , , , , , , , , , ,0, 
COI_4,1,1, , ,1,1, , , , , ,4, 
AOIS_55, , , , , , , , , , , ,0, 
LOI_5, , , ,1, , , , , , ,1,2, 
AOIS_54, ,1, , , , , , , , , ,1, 
LOI_6, , , , , , , , , , , ,0, 
AOIS_53, ,1, , , , , , , , , ,1, 
LOI_7, , , , , , , , , , ,1,1, 
AOIS_52, ,1, , , , , , , , , ,1, 
LOI_8, , , ,1, , , , ,1, , ,2, 
AOIS_51, ,1, , , , , , , , , ,1, 
LOI_1, , , , , , , , , ,1,1,2, 
AOIS_50,1,1, , , , , , , , , ,2, 
LOI_2,1,1, ,1, ,1, , ,1, , ,5, 
LOI_3, , , , , , , , , ,1, ,1, 
LOI_4, , , ,1, , , , ,1, ,1,3, 
COI_1,1,1, ,1, ,1, , ,1,1,1,7, 
AOIS_49, ,1, , , , , , , , , ,1, 
AOIS_48,1, , , , ,1, , , , , ,2, 
AOIS_47,1, , , , ,1, , , , , ,2, 
AOIS_46,1, , , , ,1, , , , , ,2, 
AOIS_45, , , , , ,1, , , , , ,1, 
AOIS_44, , , , ,1, , ,1, , , ,2, 
AOIS_43, , , , ,1, , ,1, , , ,2, 
AOIS_42, , , , ,1, , , , , , ,1, 
AOIS_41, , , , ,1, , ,1, , , ,2, 
AOIS_40,1,1, , , , , , , , , ,2, 
LOI_9, , ,1, , , , , , ,1, ,2, 
ROR_35, ,1, , , , , , , , , ,1, 
SDL_12, , , , ,1, , , , , , ,1, 
AOIS_39, ,1, , , , , , , , , ,1, 
AOIS_38,1,1, , , , , , , , , ,2, 
AOIS_37, ,1, , , , , , , , , ,1, 
ROR_32, ,1, , , , , , , , , ,1, 
AOIS_36, , , , , , , , , , , ,0, 
ROR_31, ,1, , , ,1, , , , , ,2, 
AOIS_35, , , , , , , , , , , ,0, 
ROR_34, , , , , ,1, , , , , ,1, 
AOIS_34, , ,1, , , , , , ,1, ,2, 
ROR_33, , , , , ,1, , , , , ,1, 
AOIS_33, , ,1, , , , , , ,1, ,2, 
AOIS_32, , , , , , , , , , , ,0, 
AOIS_31, , , , , , , , , , , ,0, 
ROR_30, ,1, , , ,1, , , , , ,2, 
AOIS_30, , , ,1, , , , ,1, , ,2, 
SDL_15, , , , , ,1, , , , , ,1, 
SDL_17,1,1,1,1,1, , , , , , ,5, 
ROR_25,1,1, , , ,1, , , , , ,3, 
AOIS_29, , , ,1, , , , ,1, , ,2, 
ROR_24,1,1, , ,1,1, , , , , ,4, 
AOIS_28, , , , , , , , , , , ,0, 
ROR_27, , , , ,1, , , , , , ,1, 
AOIS_27, , , , , , , , , , , ,0, 
ROR_26, , , , ,1, , , , , , ,1, 
AOIS_26, , , , , , , , , , ,1,1, 
ROR_21, , , , , , , , , , ,1,1, 
AOIS_25, , , , , , , , , , ,1,1, 
ROR_20, , , ,1, , , , , , , ,1, 
AOIS_24, , , , , , , , , , ,1,1, 
ROR_23,1,1, , ,1,1, , , , , ,4, 
AOIS_23, , , , , , , , , , ,1,1, 
ROR_22, , , , , , , , , , , ,0, 
AOIU_3, , , , , , , , , ,1, ,1, 
AOIS_22, , , , , , , , , , ,1,1, 
AOIU_4, , , ,1, , , , ,1, ,1,3, 
AOIS_21, , , , , , , , ,1, ,1,2, 
AOIU_1, , , , , , , , , ,1,1,2, 
AOIS_20, , , ,1, , , , ,1, , ,2, 
AOIU_2,1,1, ,1, ,1, , ,1, , ,5, 
AOIU_9, , ,1, , , , , , , , ,1, 
AOIU_7, , , , , , , , , , , ,0, 
AOIU_8, , , ,1, , , , , , , ,1, 
AOIU_5, , , ,1, , , , , , ,1,2, 
AOIU_6, , , , , , , , , , , ,0, 
ROR_29, , , , , , , , , , , ,0, 
ROR_28,1,1, , , ,1, , , , , ,3, 
AOIS_19, , , ,1, , , , ,1, , ,2, 
ROR_2,1,1, ,1, ,1, , ,1,1,1,7, 
ROR_14, , , ,1, , , , ,1, ,1,3, 
AOIS_18, , , ,1, , , , , , , ,1, 
ROR_3, , , , , , , , , , , ,0, 
ROR_13, , , , , , , , , ,1, ,1, 
AOIS_17, , , ,1, , , , ,1, , ,2, 
ROR_16, , , ,1, , , , , , ,1,2, 
ROR_4, , , ,1, , , , ,1,1,1,4, 
AOIS_16, , ,1, , , , , , ,1, ,2, 
ROR_5,1,1, , , ,1, , , , , ,3, 
ROR_15, , , ,1, , , , , , ,1,2, 
AOIS_15, , ,1, , , , , , ,1, ,2, 
ROR_6,1,1, , , ,1, , , , , ,3, 
ROR_10, , , , , , , , , , , ,0, 
AOIS_14, , ,1, , , , , , ,1, ,2, 
ROR_7, , , ,1, , , , ,1,1,1,4, 
AOIS_13, , , , , , , , , ,1, ,1, 
ROR_8, , , ,1, , , , ,1,1,1,4, 
ROR_12, , , , , , , , , ,1, ,1, 
AOIS_12, , , , , , , , , , ,1,1, 
ROR_9, , , ,1, , , , ,1,1,1,4, 
ROR_11, , , ,1, , , , ,1, ,1,3, 
AOIS_11, , , , , , , , ,1, ,1,2, 
AOIS_10, , ,1, , , , , , , ,1,2, 
ROR_1,1,1, ,1, ,1, , ,1,1,1,7, 
ROR_18, , , , , , , , , , ,1,1, 
ROR_17, , , , , , , , , , , ,0, 
ROR_19, , , ,1, , , , , , , ,1, 
SDL_6, , , , , , , , , ,1, ,1, 
SDL_9, , , ,1, , , , , , , ,1, 
SDL_3,1,1, , , ,1, , , , , ,3, 
AOIU_10, , , , , , , , , , , ,0, 
AOIU_11,1,1, , ,1,1, , , , , ,4, 
AOIU_12, , , , , , , , , , , ,0, 
AOIU_13, ,1, , , ,1, , , , , ,2, 
AOIU_14, ,1, , , , , , , , , ,1, 
AOIU_15,1, , , , , , , , , , ,1, 
AOIU_16, , , , ,1, , , , , , ,1, 
AOIU_17,1,1,1,1,1, , , , , , ,5, 
AOIS_66, , , , , , , , , , , ,0, 
AOIS_5, , , , , , , , , ,1, ,1, 
AOIS_6, , ,1, ,1, , , , ,1, ,3, 
AOIS_65, , , , , , , , , , , ,0, 
AOIS_3, , , ,1, ,1, , ,1, , ,3, 
AOIS_64, , , , , , , , , , , ,0, 
AOIS_4,1, , ,1, ,1, , , , , ,3, 
AOIS_63, , , , , , , , , , , ,0, 
AOIS_1, , , ,1, ,1, , ,1, , ,3, 
AOIS_62, , , , ,1, , ,1, , , ,2, 
AOIS_61, , , , ,1, , ,1, , , ,2, 
AOIS_2,1, , ,1,1,1, , , , , ,4, 
AOIS_60, , , , , , , , , , , ,0, 
LOI_14, ,1, , , , , , , , , ,1, 
LOI_15,1, , , , ,1, , , , , ,2, 
LOI_16, , , , ,1, , ,1, , , ,2, 
LOI_17,1,1,1,1,1,1, ,1,1,1,1,10, 
AOIS_9, , , , , , , , ,1, ,1,2, 
LOI_10, , , , , , , , , , , ,0, 
LOI_11,1,1, , ,1,1, , , , , ,4, 
AOIS_7, , , , ,1, , ,1, ,1, ,3, 
LOI_12, ,1, , , , , , , , , ,1, 
AOIS_8, , ,1, ,1, , , , ,1, ,3, 
LOI_13, ,1, , , ,1, , , , , ,2, 
