Mutant,test16,test38,test15,test37,test14,test36,test13,test35,test12,test34,test11,test33,test10,test32,test31,test19,test18,test17,test39,test30,test05,test27,test04,test26,test03,test25,test02,test24,test01,test23,test00,test22,test21,test43,test20,test42,test09,test08,test07,test29,test06,test28,test41,test40,Total,Equiv?
ROR_58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ROR_54, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
SDL_73, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1, 
SDL_121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44, 
VDL_15, , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, 
ROR_55, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
ROR_50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_149, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ROR_52, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
ROR_51, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
LOI_2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, 
AOIS_143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_142, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
LOI_43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_43, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
ODL_42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_46, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
SDL_80, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, 
SDL_81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
LOI_41, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,2, 
SDL_89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ROR_49, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
AOIS_49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
LOI_29, , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,2, 
LOI_37, , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, 
LOI_38, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
AOIU_63, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
LOI_33, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
LOI_35, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
ODL_33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_30, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
SDL_93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
SDL_94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_39, , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,2, 
SDL_90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
VDL_34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44, 
AOIS_163, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
SDL_99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AOIS_160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AOIS_202, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
COR_6, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, 
AOIS_30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44, 
COR_1, , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,2, 
COR_11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,2, 
COR_4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ROR_103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, 
ODL_67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
COI_39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AOIS_206, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ROR_100, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,2, 
AOIS_207, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
AOIS_208, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
LOI_60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_25, , ,1,1, ,1, ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, 
AOIS_174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_172, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_26, , ,1,1, ,1, ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, 
SDL_25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44, 
ODL_8, , ,1,1, ,1, ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, 
AOIU_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
COI_51, , , , ,1, , , ,1, , ,1, , ,1,1, , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , ,8, 
LOI_58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
COI_42, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , ,1, , , , , , , , , ,4, 
COI_43, ,1, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , ,1, , , , , ,1, , , ,6, 
COI_46, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , ,1, , , , , , , , , ,4, 
COR_9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,2, 
AOIU_44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AOIU_45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AOIU_47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ODL_55, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, 
AOIS_217, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_52, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_218, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AORB_8, , ,1,1, ,1, ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, 
ROR_14,1, , ,1, , , ,1, , , , , , , , , ,1, , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,6, 
AOIS_186, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AORB_34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_13, , ,1,1, ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,4, 
AOIS_225, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
ROR_11,1, ,1,1, ,1, ,1, , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,7, 
AOIS_226, , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , ,3, 
AOIS_104, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
AORS_3, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_97, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
ROR_96, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
ROR_95, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_181, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
ROR_90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_93, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
ROR_92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_90, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,2, 
ROR_91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_81, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, 
ROR_124, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2, 
ROR_125, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
ROR_120, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , ,1, , , , , , , , , ,4, 
AOIS_228, , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , ,3, 
COI_19, , , , , , , , ,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1, , , ,1,5, 
AOIU_38, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_229, , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , ,3, 
LOI_81, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
AOIS_233, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
AORB_23, , , ,1, , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, 
ROR_87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AORB_21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_42, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
AOIS_237, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
AOIS_116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_191, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_48, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
AOIS_81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
COI_20, , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1,4, 
ROR_119, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
COI_24, , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , ,1,5, 
COI_25, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , ,1,1, , , ,1, , ,5, 
LOI_77, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ROR_115, ,1, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , ,1, , , , , ,1, , , ,6, 
AOIU_24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_79, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
AOIU_25, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
COI_29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AORB_31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIU_27, , , , ,1, , , ,1, , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,5, 
ROR_111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, 
LOI_71, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
SDL_57, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,2, 
SDL_58, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1,3, 
ROR_76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, 
AOIS_79, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
AOIS_120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, 
AOIS_240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44, 
LOI_25, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
ROR_146, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
LOI_24, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
SDL_103, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ROR_141, , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , ,3, 
SDL_106, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
SDL_61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,2, 
AOIS_130, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_69, , , ,1, , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, 
ROR_64, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,2, 
SDL_110, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
SDL_64, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , ,1, , , , , , ,3, 
SDL_113, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ROR_66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_112, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
AOIS_65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_63, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,2, 
AOIS_132, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_131, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
ROR_138, , , , ,1, , , ,1, , ,1, , ,1,1, , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , ,8, 
ODL_98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_114, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
SDL_117, , , , ,1, , , ,1, , ,1, , ,1, , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , ,7, 
SDL_116, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ODL_16, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
SDL_118, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
